ID X Y
1 8.35493183161 6.3120707441
2 2.38450393416 17.3152054438
3 18.2143988068 11.3375941456
4 8.49442787736 15.0046606085
5 19.9869912011 13.7932391337
6 0.228539433362 10.2455373757
7 0.618004861189 3.89085420252
8 8.2077415057 9.17706913171
9 19.4649608065 15.9962509174
10 11.7716845277 14.1017006723
11 7.17224770614 0.900962744185
12 13.9459006132 11.9767618736
13 6.76873944312 17.4157923498
14 5.65575100647 13.926402936
15 8.67457365514 15.080332394
16 19.3584807198 17.8646367341
17 12.2996869596 12.6440327651
18 8.13041555235 3.19140074566
19 11.3117430162 5.23334976526
20 4.4063307724 16.8783076543
21 17.8545353293 4.0888731875
22 3.14130827575 3.08980792497
23 13.3482380692 18.6766396243
24 9.33885936 16.0296638514
25 8.07466879987 19.2026463876
26 4.34826314552 17.8536780244
27 1.15937984696 9.96906207003
28 17.0951615499 4.85935407865
29 16.6435535381 12.2223926628
30 7.95388631641 7.34672362186
31 17.852318121 4.25899526094
32 1.90189420356 3.27594308489
33 16.47016398 13.8666091829
34 14.6814007572 5.59300173035
35 15.0678144681 4.61221800735
36 11.4890582137 10.5796510013
37 10.1778944584 11.6982909239
38 9.36442220421 1.38946378554
39 4.05800805873 11.7523413304
40 1.29500140973 10.4916437803
41 2.48558790979 2.49247200376
42 18.9101850914 4.66628743877
43 14.470529652 17.7894416628
44 10.6082759166 6.01187340061
45 10.5428023486 8.40802414325
46 16.0295755688 9.44259966586
47 13.8507864112 6.42318973972
48 14.3584241722 16.7430467975
49 6.6881128902 3.8364577513
50 10.448095371 1.29788196649
51 8.3752821048 17.7616784447
52 1.84389297811 17.7365560252
53 13.5908576155 11.2673232682
54 10.1923480596 10.0172207342
55 18.792297248 1.92373036427
56 8.03622114721 17.5877132093
57 15.9547214151 17.4563264581
58 2.53912138138 0.977808887878
59 2.80345631642 5.69152994053
60 19.8892140455 19.6848721647
61 1.04284130787 6.1236150608
62 14.3592463696 18.257011757
63 16.1121430258 8.14092392055
64 13.1129778437 11.5880805308
65 11.7292403267 10.4686939684
66 11.6464057021 15.3667182039
67 2.23276964621 1.10527994602
68 11.6301627749 7.03970019903
69 7.16661531915 10.3989466387
70 1.58238214386 19.063015538
71 7.87150602411 15.4414997397
72 7.1296582629 6.68189290666
73 0.274176356072 8.07964106315
74 2.869588547 15.7225324
75 18.3050590145 13.0869239895
76 18.6132843003 15.7433857362
77 13.7393523547 12.7484680175
78 17.3547279098 14.5460415709
79 7.38783382826 4.25197994551
80 18.5440566248 11.3418347029
81 2.0195529494 10.6018739443
82 19.2257575263 2.51252504691
83 18.3058959145 10.9357399405
84 13.5771503539 2.29076273721
85 11.1855966358 15.776385511
86 8.62413873839 1.59592793889
87 3.12262196055 7.95509416137
88 6.33152717373 3.40118208594
89 19.3111159076 17.8716902402
90 10.4807952195 0.634223041987
91 0.403651774083 3.70706114859
92 6.38433532516 4.80114484168
93 5.94984947849 16.4538349013
94 9.23793245177 13.1168394083
95 8.17764080399 19.3293082271
96 9.33250427273 6.7161069697
97 17.0486924834 8.98868548672
98 4.44949741913 8.29305275134
99 7.38176452949 2.92644991637
100 13.5864535851 8.62331992762
